State,Parameters,Month,count,Year
A & N Islands,Other Respiratory Illness Cases,April,0.0,2019.0
A & N Islands,Asthma Cases,April,0.0,2019.0
A & N Islands,Respiratory Hospitalizations,April,34.0,2019.0
A & N Islands,Asthma/COPD Cases,April,116.0,2019.0
A & N Islands,Respiratory Mortality,April,0.0,2019.0
A & N Islands,Respiratory Mortality,April,0.0,2019.0
Andhra Pradesh,Other Respiratory Illness Cases,April,1030.0,2019.0
Andhra Pradesh,Asthma Cases,April,723.0,2019.0
Andhra Pradesh,Respiratory Hospitalizations,April,1112.0,2019.0
Andhra Pradesh,Asthma/COPD Cases,April,10915.0,2019.0
Andhra Pradesh,Respiratory Mortality,April,14.0,2019.0
Andhra Pradesh,Respiratory Mortality,April,389.0,2019.0
Arunachal Pradesh,Other Respiratory Illness Cases,April,19.0,2019.0
Arunachal Pradesh,Asthma Cases,April,7.0,2019.0
Arunachal Pradesh,Respiratory Hospitalizations,April,104.0,2019.0
Arunachal Pradesh,Asthma/COPD Cases,April,125.0,2019.0
Arunachal Pradesh,Respiratory Mortality,April,0.0,2019.0
Arunachal Pradesh,Respiratory Mortality,April,5.0,2019.0
Assam,Other Respiratory Illness Cases,April,810.0,2019.0
Assam,Asthma Cases,April,242.0,2019.0
Assam,Respiratory Hospitalizations,April,1066.0,2019.0
Assam,Asthma/COPD Cases,April,2732.0,2019.0
Assam,Respiratory Mortality,April,15.0,2019.0
Assam,Respiratory Mortality,April,126.0,2019.0
Bihar,Other Respiratory Illness Cases,April,460.0,2019.0
Bihar,Asthma Cases,April,242.0,2019.0
Bihar,Respiratory Hospitalizations,April,550.0,2019.0
Bihar,Asthma/COPD Cases,April,1025.0,2019.0
Bihar,Respiratory Mortality,April,7.0,2019.0
Bihar,Respiratory Mortality,April,18.0,2019.0
Chandigarh,Other Respiratory Illness Cases,April,506.0,2019.0
Chandigarh,Asthma Cases,April,226.0,2019.0
Chandigarh,Respiratory Hospitalizations,April,336.0,2019.0
Chandigarh,Asthma/COPD Cases,April,126.0,2019.0
Chandigarh,Respiratory Mortality,April,3.0,2019.0
Chandigarh,Respiratory Mortality,April,23.0,2019.0
Chhattisgarh,Other Respiratory Illness Cases,April,440.0,2019.0
Chhattisgarh,Asthma Cases,April,87.0,2019.0
Chhattisgarh,Respiratory Hospitalizations,April,1475.0,2019.0
Chhattisgarh,Asthma/COPD Cases,April,1644.0,2019.0
Chhattisgarh,Respiratory Mortality,April,6.0,2019.0
Chhattisgarh,Respiratory Mortality,April,65.0,2019.0
Dadra & Nagar Haveli,Other Respiratory Illness Cases,April,6.0,2019.0
Dadra & Nagar Haveli,Asthma Cases,April,3.0,2019.0
Dadra & Nagar Haveli,Respiratory Hospitalizations,April,69.0,2019.0
Dadra & Nagar Haveli,Asthma/COPD Cases,April,70.0,2019.0
Dadra & Nagar Haveli,Respiratory Mortality,April,0.0,2019.0
Dadra & Nagar Haveli,Respiratory Mortality,April,2.0,2019.0
Daman & Diu,Other Respiratory Illness Cases,April,0.0,2019.0
Daman & Diu,Asthma Cases,April,0.0,2019.0
Daman & Diu,Respiratory Hospitalizations,April,10.0,2019.0
Daman & Diu,Asthma/COPD Cases,April,67.0,2019.0
Daman & Diu,Respiratory Mortality,April,0.0,2019.0
Daman & Diu,Respiratory Mortality,April,0.0,2019.0
Delhi,Other Respiratory Illness Cases,April,2012.0,2019.0
Delhi,Asthma Cases,April,1276.0,2019.0
Delhi,Respiratory Hospitalizations,April,588.0,2019.0
Delhi,Asthma/COPD Cases,April,3081.0,2019.0
Delhi,Respiratory Mortality,April,16.0,2019.0
Delhi,Respiratory Mortality,April,179.0,2019.0
Goa,Other Respiratory Illness Cases,April,55.0,2019.0
Goa,Asthma Cases,April,19.0,2019.0
Goa,Respiratory Hospitalizations,April,125.0,2019.0
Goa,Asthma/COPD Cases,April,343.0,2019.0
Goa,Respiratory Mortality,April,0.0,2019.0
Goa,Respiratory Mortality,April,3.0,2019.0
Gujarat,Other Respiratory Illness Cases,April,612.0,2019.0
Gujarat,Asthma Cases,April,298.0,2019.0
Gujarat,Respiratory Hospitalizations,April,2254.0,2019.0
Gujarat,Asthma/COPD Cases,April,4892.0,2019.0
Gujarat,Respiratory Mortality,April,21.0,2019.0
Gujarat,Respiratory Mortality,April,577.0,2019.0
Haryana,Other Respiratory Illness Cases,April,366.0,2019.0
Haryana,Asthma Cases,April,320.0,2019.0
Haryana,Respiratory Hospitalizations,April,523.0,2019.0
Haryana,Asthma/COPD Cases,April,3111.0,2019.0
Haryana,Respiratory Mortality,April,4.0,2019.0
Haryana,Respiratory Mortality,April,225.0,2019.0
Himachal Pradesh,Other Respiratory Illness Cases,April,261.0,2019.0
Himachal Pradesh,Asthma Cases,April,17.0,2019.0
Himachal Pradesh,Respiratory Hospitalizations,April,293.0,2019.0
Himachal Pradesh,Asthma/COPD Cases,April,1969.0,2019.0
Himachal Pradesh,Respiratory Mortality,April,2.0,2019.0
Himachal Pradesh,Respiratory Mortality,April,47.0,2019.0
Jammu & Kashmir,Other Respiratory Illness Cases,April,314.0,2019.0
Jammu & Kashmir,Asthma Cases,April,262.0,2019.0
