season,city,days,avg_aqi
Monsoon,Ahmedabad,485,356.31746474226804
Monsoon,Aizawl,31,36.29032258064516
Monsoon,Amaravati,232,64.21637068965518
Monsoon,Amritsar,383,105.89850121845083
Monsoon,Bengaluru,636,85.60684402515723
Monsoon,Bhopal,45,71.6211111111111
Monsoon,Brajrajnagar,227,109.81093186772846
Monsoon,Chandigarh,60,96.2942
Monsoon,Chennai,626,113.74121405750799
Monsoon,Coimbatore,139,69.23106474820145
Monsoon,Delhi,639,162.92628388106417
Monsoon,Ernakulam,29,101.41172413793103
Monsoon,Gurugram,482,179.18879668049792
Monsoon,Guwahati,153,72.36542320261438
Monsoon,Hyderabad,621,85.14736006441224
Monsoon,Jaipur,372,102.70815860215053
Monsoon,Jorapokhar,257,172.12852658884566
Monsoon,Kochi,31,94.12903225806451
Monsoon,Kolkata,263,61.28915893536122
Monsoon,Lucknow,632,123.26424050632912
Monsoon,Mumbai,274,70.78722627737227
Monsoon,Patna,401,141.12967581047383
Monsoon,Shillong,65,56.36909033530572
Monsoon,Talcher,219,112.35525722983257
Monsoon,Thiruvananthapuram,365,56.484090593607306
Monsoon,Visakhapatnam,353,95.20141548630784
Post-Monsoon,Ahmedabad,236,593.8010593220339
Post-Monsoon,Amaravati,119,102.26984201680672
Post-Monsoon,Amritsar,174,188.2800234305924
Post-Monsoon,Bengaluru,305,95.99672131147541
Post-Monsoon,Bhopal,61,169.88524590163934
Post-Monsoon,Brajrajnagar,89,146.47424027657738
Post-Monsoon,Chandigarh,61,154.11475409836066
Post-Monsoon,Chennai,304,121.15460526315789
Post-Monsoon,Coimbatore,61,80.49699453551912
Post-Monsoon,Delhi,305,356.4065573770492
Post-Monsoon,Gurugram,240,296.28333333333336
Post-Monsoon,Guwahati,61,119.4170918032787
Post-Monsoon,Hyderabad,303,125.86629372937294
Post-Monsoon,Jaipur,183,179.55740983606557
Post-Monsoon,Jorapokhar,137,274.5701722627737
Post-Monsoon,Kolkata,122,193.47540983606558
Post-Monsoon,Lucknow,305,305.14426229508194
Post-Monsoon,Mumbai,118,125.43152033898306
Post-Monsoon,Patna,294,332.59183673469386
Post-Monsoon,Shillong,34,46.68333333333334
Post-Monsoon,Talcher,101,190.69888712871287
Post-Monsoon,Thiruvananthapuram,168,75.41606547619047
Post-Monsoon,Visakhapatnam,216,116.27944907407408
Spring,Ahmedabad,362,404.06462983425416
Spring,Aizawl,82,40.11455691056911
Spring,Amaravati,274,71.63715693430656
Spring,Amritsar,358,102.94891862197393
Spring,Bengaluru,532,100.6390977443609
Spring,Bhopal,83,108.59231807228915
Spring,Brajrajnagar,246,164.03800642067958
Spring,Chandigarh,92,58.32456956521739
Spring,Chennai,530,116.17547169811321
Spring,Coimbatore,89,74.0825670411985
Spring,Delhi,552,243.19746376811594
Spring,Ernakulam,91,83.39045934065933
Spring,Gurugram,435,221.7076664367816
Spring,Guwahati,184,138.00962681159422
Spring,Hyderabad,517,109.32268394584139
Spring,Jaipur,276,128.06521739130434
Spring,Jorapokhar,261,164.9106171136654
Spring,Kochi,92,97.19917934782609
Spring,Kolkata,193,95.51634196891192
Spring,Lucknow,518,198.9227799227799
Spring,Mumbai,211,92.45194028436019
Spring,Patna,409,199.5770171149144
Spring,Shillong,67,51.18706467661691
Spring,Talcher,249,153.2065923488827
Spring,Thiruvananthapuram,276,72.32641014492754
Spring,Visakhapatnam,314,91.85525095541401
Winter,Ahmedabad,299,552.5834849498327
Winter,Amaravati,271,139.4283704797048
Winter,Amritsar,262,132.631082697201
Winter,Bengaluru,452,107.71681415929204
Winter,Bhopal,91,158.86813186813185
Winter,Brajrajnagar,213,195.9941696641387
Winter,Chandigarh,91,109.37362637362638
Winter,Chennai,432,121.60648148148148
Winter,Coimbatore,91,76.73331135531136
Winter,Delhi,511,343.1898238747554
Winter,Ernakulam,38,102.56244210526316
Winter,Gurugram,368,299.1005434782609
Winter,Guwahati,104,265.155351331361
Winter,Hyderabad,452,131.1639778761062
Winter,Jaipur,271,149.5608856088561
Winter,Jorapokhar,241,223.42978838174272
Winter,Kochi,39,128.8757487179487
Winter,Kolkata,181,265.50828729281767
Winter,Lucknow,452,324.1570796460177
Winter,Mumbai,181,163.34806629834253
Winter,Patna,433,358.86605080831407
Winter,Shillong,85,111.54198431372548
Winter,Talcher,202,291.99018558644326
Winter,Thiruvananthapuram,268,102.94070447761194
Winter,Visakhapatnam,354,159.83621468926552
